"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SF","Giannis Antetokounmpo",12300,"MIL@ATL 10/29/2017 03:30PM ET",62.850,"MIL"
"PF/C","LaMarcus Aldridge",8300,"SA@IND 10/29/2017 04:30PM ET",45.100,"SA"
"SF/PF","Kawhi Leonard",8000,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"C","Myles Turner",7500,"SA@IND 10/29/2017 04:30PM ET",51.000,"IND"
"PG/SG","Victor Oladipo",7300,"SA@IND 10/29/2017 04:30PM ET",41.850,"IND"
"PG","Dennis Schroder",7200,"MIL@ATL 10/29/2017 03:30PM ET",38.500,"ATL"
"SG/SF","Khris Middleton",6000,"MIL@ATL 10/29/2017 03:30PM ET",28.600,"MIL"
"SG/SF","Taurean Prince",5700,"MIL@ATL 10/29/2017 03:30PM ET",24.958,"ATL"
"PG/SG","Malcolm Brogdon",5600,"MIL@ATL 10/29/2017 03:30PM ET",28.500,"MIL"
"PG","Dejounte Murray",5500,"SA@IND 10/29/2017 04:30PM ET",26.800,"SA"
"SG/SF","Kent Bazemore",5400,"MIL@ATL 10/29/2017 03:30PM ET",26.292,"ATL"
"PG","Darren Collison",5200,"SA@IND 10/29/2017 04:30PM ET",35.950,"IND"
"SF/PF","Rudy Gay",5200,"SA@IND 10/29/2017 04:30PM ET",25.050,"SA"
"SG/SF","Danny Green",5100,"SA@IND 10/29/2017 04:30PM ET",25.650,"SA"
"PF/C","Pau Gasol",5100,"SA@IND 10/29/2017 04:30PM ET",25.150,"SA"
"SF/PF","Jabari Parker",5000,"MIL@ATL 10/29/2017 03:30PM ET",0,"MIL"
"PF/C","Domantas Sabonis",5000,"SA@IND 10/29/2017 04:30PM ET",27.550,"IND"
"PF/C","John Collins",4900,"MIL@ATL 10/29/2017 03:30PM ET",23.583,"ATL"
"SF/PF","Thaddeus Young",4800,"SA@IND 10/29/2017 04:30PM ET",26.700,"IND"
"C","Dewayne Dedmon",4500,"MIL@ATL 10/29/2017 03:30PM ET",22.458,"ATL"
"SG/SF","Kyle Anderson",4500,"SA@IND 10/29/2017 04:30PM ET",21.950,"SA"
"SG","Marco Belinelli",4200,"MIL@ATL 10/29/2017 03:30PM ET",24.542,"ATL"
"PF/C","Greg Monroe",4200,"MIL@ATL 10/29/2017 03:30PM ET",13.950,"MIL"
"PG/SG","Malcolm Delaney",4000,"MIL@ATL 10/29/2017 03:30PM ET",14.458,"ATL"
"SF/PF","Ersan Ilyasova",4000,"MIL@ATL 10/29/2017 03:30PM ET",17.125,"ATL"
"SG/SF","Glenn Robinson III",3900,"SA@IND 10/29/2017 04:30PM ET",0,"IND"
"SG/SF","Tony Snell",3800,"MIL@ATL 10/29/2017 03:30PM ET",18.350,"MIL"
"SG/SF","Lance Stephenson",3800,"SA@IND 10/29/2017 04:30PM ET",13.400,"IND"
"PG/SG","Matthew Dellavedova",3700,"MIL@ATL 10/29/2017 03:30PM ET",13.800,"MIL"
"PG","Tony Parker",3700,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"C","Mike Muscala",3600,"MIL@ATL 10/29/2017 03:30PM ET",17.542,"ATL"
"SG/SF","Manu Ginobili",3600,"SA@IND 10/29/2017 04:30PM ET",16.350,"SA"
"PG","Patty Mills",3600,"SA@IND 10/29/2017 04:30PM ET",11.950,"SA"
"SG/SF","Bojan Bogdanovic",3500,"SA@IND 10/29/2017 04:30PM ET",14.450,"IND"
"PF/C","Al Jefferson",3500,"SA@IND 10/29/2017 04:30PM ET",18.000,"IND"
"PG","Cory Joseph",3500,"SA@IND 10/29/2017 04:30PM ET",20.850,"IND"
"PF/C","Thon Maker",3300,"MIL@ATL 10/29/2017 03:30PM ET",11.950,"MIL"
"C","John Henson",3100,"MIL@ATL 10/29/2017 03:30PM ET",12.450,"MIL"
"PG/SG","Jason Terry",3100,"MIL@ATL 10/29/2017 03:30PM ET",6.500,"MIL"
"SG/SF","DeAndre' Bembry",3000,"MIL@ATL 10/29/2017 03:30PM ET",20.000,"ATL"
"C","Miles Plumlee",3000,"MIL@ATL 10/29/2017 03:30PM ET",0,"ATL"
"SG/SF","Nicolas Brussino",3000,"MIL@ATL 10/29/2017 03:30PM ET",1.250,"ATL"
"PG/SG","Tyler Dorsey",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.667,"ATL"
"PG","Isaiah Taylor",3000,"MIL@ATL 10/29/2017 03:30PM ET",7.250,"ATL"
"PG","Josh Magette",3000,"MIL@ATL 10/29/2017 03:30PM ET",2.813,"ATL"
"SF/PF","Luke Babbitt",3000,"MIL@ATL 10/29/2017 03:30PM ET",5.083,"ATL"
"PG/SG","Rashad Vaughn",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.000,"MIL"
"PG/SG","DeAndre Liggins",3000,"MIL@ATL 10/29/2017 03:30PM ET",6.250,"MIL"
"SF/PF","D.J. Wilson",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.000,"MIL"
"PF","Joel Bolomboy",3000,"MIL@ATL 10/29/2017 03:30PM ET",0,"MIL"
"SG","Sterling Brown",3000,"MIL@ATL 10/29/2017 03:30PM ET",3.500,"MIL"
"SG","Gary Payton II",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.000,"MIL"
"SF/PF","Mirza Teletovic",3000,"MIL@ATL 10/29/2017 03:30PM ET",11.100,"MIL"
"PF/C","Ike Anigbogu",3000,"SA@IND 10/29/2017 04:30PM ET",0.750,"IND"
"PG/SG","Joe Young",3000,"SA@IND 10/29/2017 04:30PM ET",4.000,"IND"
"PG","Edmond Sumner",3000,"SA@IND 10/29/2017 04:30PM ET",0,"IND"
"SF/PF","TJ Leaf",3000,"SA@IND 10/29/2017 04:30PM ET",12.500,"IND"
"SG/SF","Damien Wilkins",3000,"SA@IND 10/29/2017 04:30PM ET",2.450,"IND"
"SF","Alex Poythress",3000,"SA@IND 10/29/2017 04:30PM ET",0.417,"IND"
"SF/PF","Davis Bertans",3000,"SA@IND 10/29/2017 04:30PM ET",6.125,"SA"
"SG/SF","Darrun Hilliard",3000,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"PF","Matt Costello",3000,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"PG/SG","Bryn Forbes",3000,"SA@IND 10/29/2017 04:30PM ET",4.688,"SA"
"PF/C","Joffrey Lauvergne",3000,"SA@IND 10/29/2017 04:30PM ET",13.833,"SA"
"PG/SG","Derrick White",3000,"SA@IND 10/29/2017 04:30PM ET",7.750,"SA"
"SG","Brandon Paul",3000,"SA@IND 10/29/2017 04:30PM ET",7.917,"SA"
"SF/PF","LeBron James",10700,"NY@CLE 10/29/2017 07:00PM ET",52.000,"CLE"
"SF/PF","Kevin Durant",9800,"DET@GS 10/29/2017 08:30PM ET",50.458,"GS"
"PG","John Wall",9700,"WAS@SAC 10/29/2017 06:00PM ET",45.300,"WAS"
"PG/SG","Stephen Curry",9100,"DET@GS 10/29/2017 08:30PM ET",46.125,"GS"
"PF/C","Nikola Jokic",8900,"DEN@BKN 10/29/2017 06:00PM ET",36.400,"DEN"
"PF/C","Kristaps Porzingis",8500,"NY@CLE 10/29/2017 07:00PM ET",41.188,"NY"
"PG","Kemba Walker",7900,"ORL@CHA 10/29/2017 06:00PM ET",36.950,"CHA"
"C","Dwight Howard",7700,"ORL@CHA 10/29/2017 06:00PM ET",41.350,"CHA"
"PG","D'Angelo Russell",7500,"DEN@BKN 10/29/2017 06:00PM ET",35.500,"BKN"
"PF/C","Draymond Green",7400,"DET@GS 10/29/2017 08:30PM ET",33.000,"GS"
"PF/C","Kevin Love",7300,"NY@CLE 10/29/2017 07:00PM ET",37.458,"CLE"
"SG","Bradley Beal",7300,"WAS@SAC 10/29/2017 06:00PM ET",35.200,"WAS"
"C","Nikola Vucevic",7200,"ORL@CHA 10/29/2017 06:00PM ET",42.550,"ORL"
"C","Andre Drummond",7100,"DET@GS 10/29/2017 08:30PM ET",40.292,"DET"
"SF/PF","Otto Porter",7100,"WAS@SAC 10/29/2017 06:00PM ET",41.300,"WAS"
"SF/PF","Aaron Gordon",7100,"ORL@CHA 10/29/2017 06:00PM ET",42.583,"ORL"
"PF/C","Paul Millsap",7000,"DEN@BKN 10/29/2017 06:00PM ET",26.100,"DEN"
"PG","Elfrid Payton",6900,"ORL@CHA 10/29/2017 06:00PM ET",24.500,"ORL"
"SG","Klay Thompson",6800,"DET@GS 10/29/2017 08:30PM ET",35.000,"GS"
"SG/SF","Evan Fournier",6700,"ORL@CHA 10/29/2017 06:00PM ET",38.200,"ORL"
"PG","Isaiah Thomas",6600,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"SF/PF","Tobias Harris",6500,"DET@GS 10/29/2017 08:30PM ET",32.000,"DET"
"SG/SF","Jeremy Lamb",6300,"ORL@CHA 10/29/2017 06:00PM ET",28.250,"CHA"
"PF/C","Enes Kanter",6100,"NY@CLE 10/29/2017 07:00PM ET",30.250,"NY"
"SG/SF","Will Barton",6000,"DEN@BKN 10/29/2017 06:00PM ET",30.000,"DEN"
"C","Marcin Gortat",5900,"WAS@SAC 10/29/2017 06:00PM ET",31.650,"WAS"
"PG","De'Aaron Fox",5800,"WAS@SAC 10/29/2017 06:00PM ET",28.900,"SAC"
"PG","Reggie Jackson",5700,"DET@GS 10/29/2017 08:30PM ET",31.917,"DET"
"SG","Gary Harris",5600,"DEN@BKN 10/29/2017 06:00PM ET",24.250,"DEN"
"PG/SG","D.J. Augustin",5500,"ORL@CHA 10/29/2017 06:00PM ET",26.200,"ORL"
"PF/C","Willie Cauley-Stein",5400,"WAS@SAC 10/29/2017 06:00PM ET",26.450,"SAC"
"SG/SF","Kelly Oubre Jr.",5400,"WAS@SAC 10/29/2017 06:00PM ET",26.600,"WAS"
"SF/PF","DeMarre Carroll",5300,"DEN@BKN 10/29/2017 06:00PM ET",29.167,"BKN"
"PG/SG","Dwyane Wade",5200,"NY@CLE 10/29/2017 07:00PM ET",17.750,"CLE"
"PF/C","Zach Randolph",5200,"WAS@SAC 10/29/2017 06:00PM ET",22.000,"SAC"
"PG/SG","Avery Bradley",5100,"DET@GS 10/29/2017 08:30PM ET",23.958,"DET"
"SF/PF","Rondae Hollis-Jefferson",5100,"DEN@BKN 10/29/2017 06:00PM ET",25.292,"BKN"
"PG/SG","Jamal Murray",5000,"DEN@BKN 10/29/2017 06:00PM ET",16.450,"DEN"
"PG","Derrick Rose",5000,"NY@CLE 10/29/2017 07:00PM ET",20.500,"CLE"
"SF/PF","Markieff Morris",5000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"PF/C","Frank Kaminsky",5000,"ORL@CHA 10/29/2017 06:00PM ET",24.350,"CHA"
"PF/C","Trevor Booker",4900,"DEN@BKN 10/29/2017 06:00PM ET",25.625,"BKN"
"PG/SF","Caris LeVert",4900,"DEN@BKN 10/29/2017 06:00PM ET",23.792,"BKN"
"SG/SF","Tim Hardaway Jr.",4900,"NY@CLE 10/29/2017 07:00PM ET",14.188,"NY"
"SF/PF","Wilson Chandler",4800,"DEN@BKN 10/29/2017 06:00PM ET",17.600,"DEN"
"PG/SG","Spencer Dinwiddie",4700,"DEN@BKN 10/29/2017 06:00PM ET",23.167,"BKN"
"SG/SF","Buddy Hield",4700,"WAS@SAC 10/29/2017 06:00PM ET",22.350,"SAC"
"SF/PF","Jae Crowder",4600,"NY@CLE 10/29/2017 07:00PM ET",15.417,"CLE"
"PG/SG","George Hill",4500,"WAS@SAC 10/29/2017 06:00PM ET",18.500,"SAC"
"PG","Emmanuel Mudiay",4400,"DEN@BKN 10/29/2017 06:00PM ET",18.700,"DEN"
"SG/SF","Allen Crabbe",4400,"DEN@BKN 10/29/2017 06:00PM ET",19.792,"BKN"
"PF/C","Skal Labissiere",4400,"WAS@SAC 10/29/2017 06:00PM ET",22.900,"SAC"
"SF/PF","Jeff Green",4300,"NY@CLE 10/29/2017 07:00PM ET",16.792,"CLE"
"PF/C","Kyle O'Quinn",4300,"NY@CLE 10/29/2017 07:00PM ET",21.188,"NY"
"SG/SF","Bogdan Bogdanovic",4200,"WAS@SAC 10/29/2017 06:00PM ET",20.375,"SAC"
"PF/C","Tristan Thompson",4100,"NY@CLE 10/29/2017 07:00PM ET",15.833,"CLE"
"SG/SF","Courtney Lee",4100,"NY@CLE 10/29/2017 07:00PM ET",17.938,"NY"
"PG","Jarrett Jack",4100,"NY@CLE 10/29/2017 07:00PM ET",17.875,"NY"
"SG/SF","Terrence Ross",4100,"ORL@CHA 10/29/2017 06:00PM ET",17.850,"ORL"
"SG/SF","Andre Iguodala",4000,"DET@GS 10/29/2017 08:30PM ET",16.400,"GS"
"PG","Ramon Sessions",4000,"NY@CLE 10/29/2017 07:00PM ET",20.000,"NY"
"C","Joakim Noah",4000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SG/SF","Jonathon Simmons",4000,"ORL@CHA 10/29/2017 06:00PM ET",19.800,"ORL"
"SF","Michael Kidd-Gilchrist",4000,"ORL@CHA 10/29/2017 06:00PM ET",10.125,"CHA"
"C","Cody Zeller",4000,"ORL@CHA 10/29/2017 06:00PM ET",20.250,"CHA"
"SG/SF","Nicolas Batum",4000,"ORL@CHA 10/29/2017 06:00PM ET",0,"CHA"
"PG","Ish Smith",3900,"DET@GS 10/29/2017 08:30PM ET",16.875,"DET"
"SG/SF","Stanley Johnson",3900,"DET@GS 10/29/2017 08:30PM ET",17.167,"DET"
"SG/SF","J.R. Smith",3900,"NY@CLE 10/29/2017 07:00PM ET",12.333,"CLE"
"PF/C","Guillermo Hernangomez",3900,"NY@CLE 10/29/2017 07:00PM ET",11.583,"NY"
"SF/PF","Juancho Hernangomez",3800,"DEN@BKN 10/29/2017 06:00PM ET",0.000,"DEN"
"PF/C","Mason Plumlee",3800,"DEN@BKN 10/29/2017 06:00PM ET",18.250,"DEN"
"PG/SG","Iman Shumpert",3800,"NY@CLE 10/29/2017 07:00PM ET",11.792,"CLE"
"SF/PF","Marvin Williams",3800,"ORL@CHA 10/29/2017 06:00PM ET",11.850,"CHA"
"PG/SG","Malik Monk",3800,"ORL@CHA 10/29/2017 06:00PM ET",13.250,"CHA"
"SG/SF","Kyle Korver",3700,"NY@CLE 10/29/2017 07:00PM ET",15.708,"CLE"
"PG/SG","Garrett Temple",3700,"WAS@SAC 10/29/2017 06:00PM ET",19.900,"SAC"
"PG","Tim Frazier",3700,"WAS@SAC 10/29/2017 06:00PM ET",12.500,"WAS"
"PF/C","Jason Smith",3700,"WAS@SAC 10/29/2017 06:00PM ET",3.625,"WAS"
"PF/C","Bismack Biyombo",3700,"ORL@CHA 10/29/2017 06:00PM ET",13.900,"ORL"
"PG/SG","Shaun Livingston",3600,"DET@GS 10/29/2017 08:30PM ET",10.400,"GS"
"SF/PF","Michael Beasley",3600,"NY@CLE 10/29/2017 07:00PM ET",8.813,"NY"
