"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Kosta Koufos",3600,"WAS@SAC 10/29/2017 06:00PM ET",17.250,"SAC"
"SG","Nick Young",3500,"DET@GS 10/29/2017 08:30PM ET",11.750,"GS"
"PF/C","Kenneth Faried",3500,"DEN@BKN 10/29/2017 06:00PM ET",10.700,"DEN"
"SF/PF","Doug McDermott",3500,"NY@CLE 10/29/2017 07:00PM ET",16.188,"NY"
"C","Ian Mahinmi",3500,"WAS@SAC 10/29/2017 06:00PM ET",10.700,"WAS"
"PG","Shelvin Mack",3500,"ORL@CHA 10/29/2017 06:00PM ET",13.875,"ORL"
"C","Boban Marjanovic",3400,"DET@GS 10/29/2017 08:30PM ET",4.000,"DET"
"PG/SG","Sean Kilpatrick",3400,"DEN@BKN 10/29/2017 06:00PM ET",8.500,"BKN"
"PG/SG","Frank Ntilikina",3400,"NY@CLE 10/29/2017 07:00PM ET",10.500,"NY"
"SF/PF","Jonathan Isaac",3400,"ORL@CHA 10/29/2017 06:00PM ET",15.900,"ORL"
"PF/C","Jon Leuer",3300,"DET@GS 10/29/2017 08:30PM ET",12.250,"DET"
"C","Zaza Pachulia",3300,"DET@GS 10/29/2017 08:30PM ET",13.250,"GS"
"PF/C","Jarrett Allen",3300,"DEN@BKN 10/29/2017 06:00PM ET",12.700,"BKN"
"SG","Jodie Meeks",3300,"WAS@SAC 10/29/2017 06:00PM ET",14.600,"WAS"
"PF/C","David West",3200,"DET@GS 10/29/2017 08:30PM ET",16.208,"GS"
"SG/SF","Joe Harris",3200,"DEN@BKN 10/29/2017 06:00PM ET",13.050,"BKN"
"PG","Michael Carter-Williams",3200,"ORL@CHA 10/29/2017 06:00PM ET",0,"CHA"
"SF/PF","Omri Casspi",3100,"DET@GS 10/29/2017 08:30PM ET",6.833,"GS"
"C","Timofey Mozgov",3100,"DEN@BKN 10/29/2017 06:00PM ET",11.250,"BKN"
"PF/C","Channing Frye",3100,"NY@CLE 10/29/2017 07:00PM ET",6.950,"CLE"
"PG/SG","Ron Baker",3100,"NY@CLE 10/29/2017 07:00PM ET",12.000,"NY"
"PF","Mike Scott",3100,"WAS@SAC 10/29/2017 06:00PM ET",12.800,"WAS"
"SG","Mario Hezonja",3100,"ORL@CHA 10/29/2017 06:00PM ET",11.313,"ORL"
"SG","Luke Kennard",3000,"DET@GS 10/29/2017 08:30PM ET",8.938,"DET"
"PF/C","Henry Ellenson",3000,"DET@GS 10/29/2017 08:30PM ET",12.875,"DET"
"PF/C","Eric Moreland",3000,"DET@GS 10/29/2017 08:30PM ET",2.500,"DET"
"SF/PF","Anthony Tolliver",3000,"DET@GS 10/29/2017 08:30PM ET",17.000,"DET"
"PG/SG","Langston Galloway",3000,"DET@GS 10/29/2017 08:30PM ET",15.400,"DET"
"SG/SF","Reggie Bullock",3000,"DET@GS 10/29/2017 08:30PM ET",2.250,"DET"
"SF","Luis Montero",3000,"DET@GS 10/29/2017 08:30PM ET",0,"DET"
"PG","Dwight Buycks",3000,"DET@GS 10/29/2017 08:30PM ET",0,"DET"
"PF/C","Jordan Bell",3000,"DET@GS 10/29/2017 08:30PM ET",10.150,"GS"
"SG/SF","Patrick McCaw",3000,"DET@GS 10/29/2017 08:30PM ET",7.000,"GS"
"C","JaVale McGee",3000,"DET@GS 10/29/2017 08:30PM ET",9.500,"GS"
"SF/PF","Kevon Looney",3000,"DET@GS 10/29/2017 08:30PM ET",11.375,"GS"
"C","Damian Jones",3000,"DET@GS 10/29/2017 08:30PM ET",0,"GS"
"PF","Chris Boucher",3000,"DET@GS 10/29/2017 08:30PM ET",0,"GS"
"PG","Quinn Cook",3000,"DET@GS 10/29/2017 08:30PM ET",2.000,"GS"
"PF","Darrell Arthur",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"PG","Monte Morris",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"SG/SF","Torrey Craig",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"SF/PF","Trey Lyles",3000,"DEN@BKN 10/29/2017 06:00PM ET",3.083,"DEN"
"PG","Malik Beasley",3000,"DEN@BKN 10/29/2017 06:00PM ET",5.300,"DEN"
"SF/PF","Richard Jefferson",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"PF","Tyler Lydon",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"PG/SG","Isaiah Whitehead",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"BKN"
"C","Tyler Zeller",3000,"DEN@BKN 10/29/2017 06:00PM ET",7.500,"BKN"
"SG","Yakuba Ouattara",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"BKN"
"PG","Jacob Wiley",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"BKN"
"PG/SG","Jeremy Lin",3000,"DEN@BKN 10/29/2017 06:00PM ET",23.000,"BKN"
"PF/C","Quincy Acy",3000,"DEN@BKN 10/29/2017 06:00PM ET",11.083,"BKN"
"PG","London Perrantes",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"SG/SF","John Holland",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"PG","Jose Calderon",3000,"NY@CLE 10/29/2017 07:00PM ET",3.750,"CLE"
"PF/C","Ante Zizic",3000,"NY@CLE 10/29/2017 07:00PM ET",9.000,"CLE"
"SG/SF","Cedi Osman",3000,"NY@CLE 10/29/2017 07:00PM ET",3.083,"CLE"
"SG","Damyean Dotson",3000,"NY@CLE 10/29/2017 07:00PM ET",0.833,"NY"
"SF","Mindaugas Kuzminskas",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SF/PF","Lance Thomas",3000,"NY@CLE 10/29/2017 07:00PM ET",3.167,"NY"
"PF","Luke Kornet",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"PF","Isaiah Hicks",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SG/SF","Malachi Richardson",3000,"WAS@SAC 10/29/2017 06:00PM ET",5.875,"SAC"
"PF/C","Harry Giles",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"SAC"
"C","Georgios Papagiannis",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"SAC"
"SF/PF","Jakarr Sampson",3000,"WAS@SAC 10/29/2017 06:00PM ET",3.250,"SAC"
"PG/SG","Frank Mason III",3000,"WAS@SAC 10/29/2017 06:00PM ET",11.000,"SAC"
"SG/SF","Justin Jackson",3000,"WAS@SAC 10/29/2017 06:00PM ET",8.350,"SAC"
"PF","Jack Cooley",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"SAC"
"SG/SF","Vince Carter",3000,"WAS@SAC 10/29/2017 06:00PM ET",6.100,"SAC"
"PF","Mike Young",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"SG","Sheldon Mac",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"SG/SF","Carrick Felix",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"PF/C","Chris McCullough",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"PG/SG","Tomas Satoransky",3000,"WAS@SAC 10/29/2017 06:00PM ET",3.875,"WAS"
"SG","Devin Robinson",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"SG/SF","Wes Iwundu",3000,"ORL@CHA 10/29/2017 06:00PM ET",5.250,"ORL"
"SG/SF","Arron Afflalo",3000,"ORL@CHA 10/29/2017 06:00PM ET",4.333,"ORL"
"PF","Adreian Payne",3000,"ORL@CHA 10/29/2017 06:00PM ET",0,"ORL"
"SG/SF","Jamel Artis",3000,"ORL@CHA 10/29/2017 06:00PM ET",0,"ORL"
"PF/C","Marreese Speights",3000,"ORL@CHA 10/29/2017 06:00PM ET",8.000,"ORL"
"PF","Khem Birch",3000,"ORL@CHA 10/29/2017 06:00PM ET",6.000,"ORL"
"SG/SF","Dwayne Bacon",3000,"ORL@CHA 10/29/2017 06:00PM ET",14.050,"CHA"
"PF/C","Johnny O'Bryant III",3000,"ORL@CHA 10/29/2017 06:00PM ET",14.813,"CHA"
"PG/SG","Julyan Stone",3000,"ORL@CHA 10/29/2017 06:00PM ET",9.625,"CHA"
"SG/SF","Treveon Graham",3000,"ORL@CHA 10/29/2017 06:00PM ET",9.500,"CHA"
"PF/C","Mangok Mathiang",3000,"ORL@CHA 10/29/2017 06:00PM ET",2.500,"CHA"
"PG","Marcus Paige",3000,"ORL@CHA 10/29/2017 06:00PM ET",2.500,"CHA"
"SF/PF","LeBron James",10700,"NY@CLE 10/29/2017 07:00PM ET",52.000,"CLE"
"SF/PF","Kevin Durant",9800,"DET@GS 10/29/2017 08:30PM ET",50.458,"GS"
"PG/SG","Stephen Curry",9100,"DET@GS 10/29/2017 08:30PM ET",46.125,"GS"
"PF/C","Kristaps Porzingis",8500,"NY@CLE 10/29/2017 07:00PM ET",41.188,"NY"
"PF/C","Draymond Green",7400,"DET@GS 10/29/2017 08:30PM ET",33.000,"GS"
"PF/C","Kevin Love",7300,"NY@CLE 10/29/2017 07:00PM ET",37.458,"CLE"
"C","Andre Drummond",7100,"DET@GS 10/29/2017 08:30PM ET",40.292,"DET"
"SG","Klay Thompson",6800,"DET@GS 10/29/2017 08:30PM ET",35.000,"GS"
"PG","Isaiah Thomas",6600,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"SF/PF","Tobias Harris",6500,"DET@GS 10/29/2017 08:30PM ET",32.000,"DET"
"PF/C","Enes Kanter",6100,"NY@CLE 10/29/2017 07:00PM ET",30.250,"NY"
"PG","Reggie Jackson",5700,"DET@GS 10/29/2017 08:30PM ET",31.917,"DET"
"PG/SG","Dwyane Wade",5200,"NY@CLE 10/29/2017 07:00PM ET",17.750,"CLE"
"PG/SG","Avery Bradley",5100,"DET@GS 10/29/2017 08:30PM ET",23.958,"DET"
"PG","Derrick Rose",5000,"NY@CLE 10/29/2017 07:00PM ET",20.500,"CLE"
"SG/SF","Tim Hardaway Jr.",4900,"NY@CLE 10/29/2017 07:00PM ET",14.188,"NY"
"SF/PF","Jae Crowder",4600,"NY@CLE 10/29/2017 07:00PM ET",15.417,"CLE"
"SF/PF","Jeff Green",4300,"NY@CLE 10/29/2017 07:00PM ET",16.792,"CLE"
"PF/C","Kyle O'Quinn",4300,"NY@CLE 10/29/2017 07:00PM ET",21.188,"NY"
"PG","Jarrett Jack",4100,"NY@CLE 10/29/2017 07:00PM ET",17.875,"NY"
"SG/SF","Courtney Lee",4100,"NY@CLE 10/29/2017 07:00PM ET",17.938,"NY"
"PF/C","Tristan Thompson",4100,"NY@CLE 10/29/2017 07:00PM ET",15.833,"CLE"
"SG/SF","Andre Iguodala",4000,"DET@GS 10/29/2017 08:30PM ET",16.400,"GS"
"C","Joakim Noah",4000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"PG","Ramon Sessions",4000,"NY@CLE 10/29/2017 07:00PM ET",20.000,"NY"
"PG","Ish Smith",3900,"DET@GS 10/29/2017 08:30PM ET",16.875,"DET"
"SG/SF","Stanley Johnson",3900,"DET@GS 10/29/2017 08:30PM ET",17.167,"DET"
"SG/SF","J.R. Smith",3900,"NY@CLE 10/29/2017 07:00PM ET",12.333,"CLE"
"PF/C","Guillermo Hernangomez",3900,"NY@CLE 10/29/2017 07:00PM ET",11.583,"NY"
"PG/SG","Iman Shumpert",3800,"NY@CLE 10/29/2017 07:00PM ET",11.792,"CLE"
"SG/SF","Kyle Korver",3700,"NY@CLE 10/29/2017 07:00PM ET",15.708,"CLE"
"PG/SG","Shaun Livingston",3600,"DET@GS 10/29/2017 08:30PM ET",10.400,"GS"
"SF/PF","Michael Beasley",3600,"NY@CLE 10/29/2017 07:00PM ET",8.813,"NY"
"SG","Nick Young",3500,"DET@GS 10/29/2017 08:30PM ET",11.750,"GS"
"SF/PF","Doug McDermott",3500,"NY@CLE 10/29/2017 07:00PM ET",16.188,"NY"
"C","Boban Marjanovic",3400,"DET@GS 10/29/2017 08:30PM ET",4.000,"DET"
"PG/SG","Frank Ntilikina",3400,"NY@CLE 10/29/2017 07:00PM ET",10.500,"NY"
"C","Zaza Pachulia",3300,"DET@GS 10/29/2017 08:30PM ET",13.250,"GS"
"PF/C","Jon Leuer",3300,"DET@GS 10/29/2017 08:30PM ET",12.250,"DET"
"PF/C","David West",3200,"DET@GS 10/29/2017 08:30PM ET",16.208,"GS"
"SF/PF","Omri Casspi",3100,"DET@GS 10/29/2017 08:30PM ET",6.833,"GS"
"PF/C","Channing Frye",3100,"NY@CLE 10/29/2017 07:00PM ET",6.950,"CLE"
"PG/SG","Ron Baker",3100,"NY@CLE 10/29/2017 07:00PM ET",12.000,"NY"
"SF/PF","Anthony Tolliver",3000,"DET@GS 10/29/2017 08:30PM ET",17.000,"DET"
"C","JaVale McGee",3000,"DET@GS 10/29/2017 08:30PM ET",9.500,"GS"
"PG","Dwight Buycks",3000,"DET@GS 10/29/2017 08:30PM ET",0,"DET"
"PG/SG","Langston Galloway",3000,"DET@GS 10/29/2017 08:30PM ET",15.400,"DET"
"SG/SF","Reggie Bullock",3000,"DET@GS 10/29/2017 08:30PM ET",2.250,"DET"
"PF/C","Eric Moreland",3000,"DET@GS 10/29/2017 08:30PM ET",2.500,"DET"
"PG","Quinn Cook",3000,"DET@GS 10/29/2017 08:30PM ET",2.000,"GS"
"PF/C","Jordan Bell",3000,"DET@GS 10/29/2017 08:30PM ET",10.150,"GS"
"C","Damian Jones",3000,"DET@GS 10/29/2017 08:30PM ET",0,"GS"
"SF/PF","Kevon Looney",3000,"DET@GS 10/29/2017 08:30PM ET",11.375,"GS"
"SG/SF","Patrick McCaw",3000,"DET@GS 10/29/2017 08:30PM ET",7.000,"GS"
"SF","Luis Montero",3000,"DET@GS 10/29/2017 08:30PM ET",0,"DET"
"PF/C","Henry Ellenson",3000,"DET@GS 10/29/2017 08:30PM ET",12.875,"DET"
"SG","Luke Kennard",3000,"DET@GS 10/29/2017 08:30PM ET",8.938,"DET"
"PF","Chris Boucher",3000,"DET@GS 10/29/2017 08:30PM ET",0,"GS"
"PG","Jose Calderon",3000,"NY@CLE 10/29/2017 07:00PM ET",3.750,"CLE"
"SF/PF","Lance Thomas",3000,"NY@CLE 10/29/2017 07:00PM ET",3.167,"NY"
"SG/SF","John Holland",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"SF","Mindaugas Kuzminskas",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SG","Damyean Dotson",3000,"NY@CLE 10/29/2017 07:00PM ET",0.833,"NY"
"PG","London Perrantes",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"PF","Luke Kornet",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"PF","Isaiah Hicks",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SG/SF","Cedi Osman",3000,"NY@CLE 10/29/2017 07:00PM ET",3.083,"CLE"
"PF/C","Ante Zizic",3000,"NY@CLE 10/29/2017 07:00PM ET",9.000,"CLE"
